1. MGI accession id	3. marker symbol	6. Entrez gene id
MGI:87853	a	50518
MGI:87854	Pzp	11287
MGI:87859	Abl1	11350
MGI:87860	Abl2	11352
MGI:87862	Scgb1b27	11354
MGI:87863	Scgb2b27	233099
MGI:87864	Scgb2b26	110187
MGI:87866	Acadl	11363
MGI:87867	Acadm	11364
MGI:87868	Acads	11409
MGI:87870	Acat1	110446
MGI:87871	Acat2	110460
MGI:87873	Acd	497652
MGI:87874	Ace	11421
MGI:87876	Ache	11423
MGI:87878	Apoc4	11425
MGI:87879	Aco1	11428
MGI:87880	Aco2	11429
MGI:87881	Acp1	11431
MGI:87882	Acp2	11432
MGI:87883	Acp5	11433
MGI:87884	Acr	11434
MGI:87885	Chrna1	11435
MGI:87886	Chrna2	110902
MGI:87887	Chrna3	110834
MGI:87888	Chrna4	11438
MGI:87889	Chrna5	110835
MGI:87890	Chrnb1	11443
MGI:87891	Chrnb2	11444
MGI:87892	Chrnb4	108015
MGI:87893	Chrnd	11447
MGI:87894	Chrne	11448
MGI:87895	Chrng	11449
MGI:87902	Acta1	11459
MGI:87904	Actb	11461
MGI:87905	Actc1	11464
MGI:87906	Actg1	11465
MGI:87907	Actg-ps1	621269
MGI:87909	Acta2	11475
MGI:87911	Acvr1	11477
MGI:87912	Acvr2b	11481
MGI:87913	Acy1	109652
MGI:87914	Aspa	11484
MGI:87916	Ada	11486
MGI:87917	Adcy6	11512
MGI:87918	Add1	11518
MGI:87919	Add2	11519
MGI:87920	Plin2	11520
MGI:87921	Adh1	11522
MGI:87926	Adh7	11529
MGI:87929	Adh5	11532
MGI:87930	Adk	11534
MGI:87931	Cfd	11537
MGI:87934	Adra2a	11551
MGI:87935	Adra2b	11552
MGI:87936	Adra2c	11553
MGI:87937	Adrb1	11554
MGI:87938	Adrb2	11555
MGI:87939	Adrb3	11556
MGI:87940	Grk2	110355
MGI:87941	Grk3	320129
MGI:87947	Adssl1	11565
MGI:87948	Adss	11566
MGI:87951	Afp	11576
MGI:87961	Agrn	11603
MGI:87963	Agt	11606
MGI:87964	Agtr1a	11607
MGI:87965	Agtr1b	11608
MGI:87966	Agtr2	11609
MGI:87968	Ahcy	269378
MGI:87971	Ahi1	52906
MGI:87977	Ak1	11636
MGI:87978	Ak2	11637
MGI:87979	Ak4	11639
MGI:87981	Akp-ps1	208256
MGI:87983	Alpl	11647
MGI:87984	Akp3	11648
MGI:87986	Akt1	11651
MGI:87989	Alas1	11655
MGI:87990	Alas2	11656
MGI:87991	Alb	11657
MGI:87994	Aldoa	11674
MGI:87995	Aldob	230163
MGI:87997	Alox15	11687
MGI:87998	Alox12	11684
MGI:87999	Alox5	11689
MGI:88002	Ambp	11699
MGI:88004	Amd1	11702
MGI:88005	Amelx	11704
MGI:88006	Amh	11705
MGI:88015	Ampd1	229665
MGI:88016	Ampd2	109674
MGI:88017	Mat1a	11720
MGI:88019	Amy1	11722
MGI:88020	Amy2a5	109959
MGI:88022	Ang	11727
MGI:88024	Ank1	11733
MGI:88025	Ank2	109676
MGI:88026	Ank3	11735
MGI:88030	Anxa4	11746
MGI:88031	Anxa7	11750
MGI:88034	Prdx3	11757
MGI:88035	Aox1	11761
MGI:88038	Fabp4	11770
MGI:88039	Apc	11789
MGI:88041	Apeh	235606
MGI:88042	Apex1	11792
MGI:88046	Aplp1	11803
MGI:88047	Aplp2	11804
MGI:88049	Apoa1	11806
MGI:88050	Apoa2	11807
MGI:88051	Apoa4	11808
MGI:88052	Apob	238055
MGI:88053	Apoc1	11812
MGI:88054	Apoc2	11813
MGI:88055	Apoc3	11814
MGI:88056	Apod	11815
MGI:88057	Apoe	11816
MGI:88058	Apoh	11818
MGI:88059	App	11820
MGI:88061	Aprt	11821
MGI:88062	Aprt-ps	621377
MGI:88064	Ar	11835
MGI:88065	Araf	11836
MGI:88067	Arc	11838
MGI:88068	Areg	11839
MGI:88070	Arg1	11846
MGI:88071	Arnt	11863
MGI:88075	Arsb	11881
MGI:88077	Arsa	11883
MGI:88081	Asgr1	11889
MGI:88082	Asgr2	11890
MGI:88084	Asl	109900
MGI:88088	Ass-ps1	100417301
MGI:88090	Ass1	11898
MGI:88095	Serpinc1	11905
MGI:88096	Atf4	11911
MGI:88105	Atp1a1	11928
MGI:88106	Atp1a2	98660
MGI:88107	Atp1a3	232975
MGI:88108	Atp1b1	11931
MGI:88109	Atp1b2	11932
MGI:88110	Atp2a2	11938
MGI:88111	Atp2b4	381290
MGI:88113	Atp4a	11944
MGI:88114	Atp4b	11945
MGI:88115	Atp5a1	11946
MGI:88116	Atp6v0c	11984
MGI:88117	Slc7a1	11987
MGI:88121	Avp	11998
